3.8306 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021DBDC70C40>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021DBDC70BE0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021DBDC70A30>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000021DBE10F4C0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.8307 	EXP 	window1: mouseVisible = True
3.8307 	EXP 	window1: backgroundImage = ''
3.8307 	EXP 	window1: backgroundFit = 'none'
3.8315 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3.8315 	EXP 	window1: recordFrameIntervals = False
3.9971 	EXP 	window1: recordFrameIntervals = True
4.1813 	EXP 	Screen (0) actual frame rate measured at 59.71Hz
4.1813 	EXP 	window1: recordFrameIntervals = False
4.1814 	EXP 	window1: mouseVisible = False
6.0967 	EXP 	PFE: status = STARTED
6.0993 	EXP 	window1: mouseVisible = True
0.0252 	EXP 	movie: autoLog = True
0.0270 	EXP 	Imported data.csv as conditions, 8 conditions, 1 params
0.0272 	EXP 	Created sequence: random, trialTypes=8, nReps=8, seed=None
0.0273 	EXP 	New trial (rep=0, index=0): OrderedDict([('videos', 'spot-swept.avi')])
0.1033 	EXP 	eyetracker.clearEvents()
0.1038 	EXP 	eyetracker.setRecordingState(True)
0.1381 	EXP 	movie: autoDraw = True
1.1209 	EXP 	eyetracker.setRecordingState(False)
1.4575 	EXP 	New trial (rep=0, index=1): OrderedDict([('videos', 'spot-original.avi')])
1.7201 	EXP 	eyetracker.clearEvents()
1.7206 	EXP 	eyetracker.setRecordingState(True)
1.7237 	EXP 	movie: autoDraw = False
1.7237 	EXP 	movie: autoDraw = True
2.7216 	EXP 	eyetracker.setRecordingState(False)
3.0749 	EXP 	New trial (rep=0, index=2): OrderedDict([('videos', 'spot-elongated-2.avi')])
3.3486 	EXP 	eyetracker.clearEvents()
3.3489 	EXP 	eyetracker.setRecordingState(True)
3.3579 	EXP 	movie: autoDraw = False
3.3579 	EXP 	movie: autoDraw = True
4.3412 	EXP 	eyetracker.setRecordingState(False)
4.7027 	EXP 	New trial (rep=0, index=3): OrderedDict([('videos', 'spot-elongated-1.avi')])
4.9645 	EXP 	eyetracker.clearEvents()
4.9648 	EXP 	eyetracker.setRecordingState(True)
4.9729 	EXP 	movie: autoDraw = False
4.9729 	EXP 	movie: autoDraw = True
5.9583 	EXP 	eyetracker.setRecordingState(False)
6.3179 	EXP 	New trial (rep=0, index=4): OrderedDict([('videos', 'ball-elongated-1.avi')])
6.5826 	EXP 	eyetracker.clearEvents()
6.5828 	EXP 	eyetracker.setRecordingState(True)
6.5908 	EXP 	movie: autoDraw = False
6.5908 	EXP 	movie: autoDraw = True
7.5903 	EXP 	eyetracker.setRecordingState(False)
7.9367 	EXP 	New trial (rep=0, index=5): OrderedDict([('videos', 'ball-elongated-2.avi')])
8.2097 	EXP 	eyetracker.clearEvents()
8.2101 	EXP 	eyetracker.setRecordingState(True)
8.2184 	EXP 	movie: autoDraw = False
8.2184 	EXP 	movie: autoDraw = True
9.2060 	EXP 	eyetracker.setRecordingState(False)
9.5639 	EXP 	New trial (rep=0, index=6): OrderedDict([('videos', 'ball-swept_volume.avi')])
9.8337 	EXP 	eyetracker.clearEvents()
9.8339 	EXP 	eyetracker.setRecordingState(True)
9.8406 	EXP 	movie: autoDraw = False
9.8406 	EXP 	movie: autoDraw = True
10.8248 	EXP 	eyetracker.setRecordingState(False)
11.1885 	EXP 	New trial (rep=0, index=7): OrderedDict([('videos', 'ball-original.avi')])
11.4628 	EXP 	eyetracker.clearEvents()
11.4632 	EXP 	eyetracker.setRecordingState(True)
11.4718 	EXP 	movie: autoDraw = False
11.4718 	EXP 	movie: autoDraw = True
12.4579 	EXP 	eyetracker.setRecordingState(False)
12.8170 	EXP 	New trial (rep=1, index=0): OrderedDict([('videos', 'ball-elongated-1.avi')])
13.0789 	EXP 	eyetracker.clearEvents()
13.0794 	EXP 	eyetracker.setRecordingState(True)
13.0860 	EXP 	movie: autoDraw = False
13.0860 	EXP 	movie: autoDraw = True
14.0750 	EXP 	eyetracker.setRecordingState(False)
14.4332 	EXP 	New trial (rep=1, index=1): OrderedDict([('videos', 'spot-elongated-2.avi')])
14.7039 	EXP 	eyetracker.clearEvents()
14.7043 	EXP 	eyetracker.setRecordingState(True)
14.7126 	EXP 	movie: autoDraw = False
14.7126 	EXP 	movie: autoDraw = True
15.7077 	EXP 	eyetracker.setRecordingState(False)
16.0585 	EXP 	New trial (rep=1, index=2): OrderedDict([('videos', 'spot-original.avi')])
16.3333 	EXP 	eyetracker.clearEvents()
16.3338 	EXP 	eyetracker.setRecordingState(True)
16.3421 	EXP 	movie: autoDraw = False
16.3421 	EXP 	movie: autoDraw = True
17.3414 	EXP 	eyetracker.setRecordingState(False)
17.6875 	EXP 	New trial (rep=1, index=3): OrderedDict([('videos', 'spot-elongated-1.avi')])
17.9513 	EXP 	eyetracker.clearEvents()
