4.3931 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FAFA382EB0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FAFA382E50>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FAFA382C70>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001FAFA586DF0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.3931 	EXP 	window1: mouseVisible = True
4.3931 	EXP 	window1: backgroundImage = ''
4.3931 	EXP 	window1: backgroundFit = 'none'
4.3938 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.3938 	EXP 	window1: recordFrameIntervals = False
4.5596 	EXP 	window1: recordFrameIntervals = True
4.7434 	EXP 	Screen (0) actual frame rate measured at 59.86Hz
4.7435 	EXP 	window1: recordFrameIntervals = False
4.7435 	EXP 	window1: mouseVisible = False
6.6692 	EXP 	PFE: status = STARTED
6.6721 	EXP 	window1: mouseVisible = True
0.0494 	EXP 	movie: autoLog = True
0.0513 	EXP 	Imported data.csv as conditions, 8 conditions, 1 params
0.0515 	EXP 	Created sequence: random, trialTypes=8, nReps=2, seed=None
0.0516 	EXP 	New trial (rep=0, index=0): OrderedDict([('videos', 'Video/spot-swept.avi')])
0.1272 	EXP 	eyetracker.clearEvents()
0.1276 	EXP 	eyetracker.setRecordingState(True)
0.1561 	EXP 	movie: autoDraw = True
1.1429 	EXP 	eyetracker.setRecordingState(False)
1.4815 	EXP 	New trial (rep=0, index=1): OrderedDict([('videos', 'Video/ball-swept_volume.avi')])
1.7603 	EXP 	eyetracker.clearEvents()
1.7609 	EXP 	eyetracker.setRecordingState(True)
1.7650 	EXP 	movie: autoDraw = False
1.7650 	EXP 	movie: autoDraw = True
2.7611 	EXP 	eyetracker.setRecordingState(False)
3.1145 	EXP 	New trial (rep=0, index=2): OrderedDict([('videos', 'Video/ball-elongated-2.avi')])
3.3782 	EXP 	eyetracker.clearEvents()
3.3785 	EXP 	eyetracker.setRecordingState(True)
3.3852 	EXP 	movie: autoDraw = False
3.3852 	EXP 	movie: autoDraw = True
4.3787 	EXP 	eyetracker.setRecordingState(False)
4.7322 	EXP 	New trial (rep=0, index=3): OrderedDict([('videos', 'Video/ball-original.avi')])
5.0079 	EXP 	eyetracker.clearEvents()
5.0083 	EXP 	eyetracker.setRecordingState(True)
5.0235 	EXP 	movie: autoDraw = False
5.0235 	EXP 	movie: autoDraw = True
6.0115 	EXP 	eyetracker.setRecordingState(False)
6.3619 	EXP 	New trial (rep=0, index=4): OrderedDict([('videos', 'Video/spot-elongated-1.avi')])
6.6316 	EXP 	eyetracker.clearEvents()
6.6320 	EXP 	eyetracker.setRecordingState(True)
6.6386 	EXP 	movie: autoDraw = False
6.6386 	EXP 	movie: autoDraw = True
7.6291 	EXP 	eyetracker.setRecordingState(False)
7.9845 	EXP 	New trial (rep=0, index=5): OrderedDict([('videos', 'Video/spot-elongated-2.avi')])
8.2480 	EXP 	eyetracker.clearEvents()
8.2484 	EXP 	eyetracker.setRecordingState(True)
8.2550 	EXP 	movie: autoDraw = False
8.2550 	EXP 	movie: autoDraw = True
9.2456 	EXP 	eyetracker.setRecordingState(False)
9.6023 	EXP 	New trial (rep=0, index=6): OrderedDict([('videos', 'Video/spot-original.avi')])
9.8849 	EXP 	eyetracker.clearEvents()
9.8855 	EXP 	eyetracker.setRecordingState(True)
9.8929 	EXP 	movie: autoDraw = False
9.8929 	EXP 	movie: autoDraw = True
10.8793 	EXP 	eyetracker.setRecordingState(False)
11.2389 	EXP 	New trial (rep=0, index=7): OrderedDict([('videos', 'Video/ball-elongated-1.avi')])
11.5018 	EXP 	eyetracker.clearEvents()
11.5023 	EXP 	eyetracker.setRecordingState(True)
11.5101 	EXP 	movie: autoDraw = False
11.5101 	EXP 	movie: autoDraw = True
12.4953 	EXP 	eyetracker.setRecordingState(False)
12.8554 	EXP 	New trial (rep=1, index=0): OrderedDict([('videos', 'Video/spot-elongated-1.avi')])
13.1264 	EXP 	eyetracker.clearEvents()
13.1269 	EXP 	eyetracker.setRecordingState(True)
13.1329 	EXP 	movie: autoDraw = False
13.1329 	EXP 	movie: autoDraw = True
14.1276 	EXP 	eyetracker.setRecordingState(False)
14.4806 	EXP 	New trial (rep=1, index=1): OrderedDict([('videos', 'Video/spot-swept.avi')])
14.7435 	EXP 	eyetracker.clearEvents()
14.7439 	EXP 	eyetracker.setRecordingState(True)
14.7510 	EXP 	movie: autoDraw = False
14.7510 	EXP 	movie: autoDraw = True
15.7449 	EXP 	eyetracker.setRecordingState(False)
16.0966 	EXP 	New trial (rep=1, index=2): OrderedDict([('videos', 'Video/spot-original.avi')])
16.3644 	EXP 	eyetracker.clearEvents()
16.3646 	EXP 	eyetracker.setRecordingState(True)
16.3781 	EXP 	movie: autoDraw = False
