9.7512 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021F40E7BCA0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021F40E7BC40>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000021F40E7BA30>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000021F4653FBB0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
9.7512 	EXP 	window1: mouseVisible = True
9.7512 	EXP 	window1: backgroundImage = ''
9.7512 	EXP 	window1: backgroundFit = 'none'
9.7520 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
9.7520 	EXP 	window1: recordFrameIntervals = False
9.9176 	EXP 	window1: recordFrameIntervals = True
10.1011 	EXP 	Screen (0) actual frame rate measured at 59.98Hz
10.1011 	EXP 	window1: recordFrameIntervals = False
10.1011 	EXP 	window1: mouseVisible = False
12.2948 	EXP 	PFE: status = STARTED
12.2969 	EXP 	window1: mouseVisible = True
0.0452 	EXP 	movie: autoLog = True
0.0474 	EXP 	Imported data.csv as conditions, 8 conditions, 1 params
0.0476 	EXP 	Created sequence: random, trialTypes=8, nReps=8, seed=None
0.0477 	EXP 	New trial (rep=0, index=0): OrderedDict([('videos', 'ball-elongated-2.avi')])
0.1301 	EXP 	eyetracker.clearEvents()
0.1304 	EXP 	eyetracker.setRecordingState(True)
0.1651 	EXP 	movie: autoDraw = True
1.1084 	EXP 	eyetracker.setRecordingState(False)
1.1085 	EXP 	New trial (rep=0, index=1): OrderedDict([('videos', 'spot-elongated-1.avi')])
1.4013 	EXP 	eyetracker.clearEvents()
1.4019 	EXP 	eyetracker.setRecordingState(True)
1.4105 	EXP 	movie: autoDraw = False
1.4105 	EXP 	movie: autoDraw = True
2.1285 	EXP 	eyetracker.setRecordingState(False)
2.1286 	EXP 	New trial (rep=0, index=2): OrderedDict([('videos', 'ball-original.avi')])
2.4138 	EXP 	eyetracker.clearEvents()
2.4142 	EXP 	eyetracker.setRecordingState(True)
2.4226 	EXP 	movie: autoDraw = False
2.4226 	EXP 	movie: autoDraw = True
3.1409 	EXP 	eyetracker.setRecordingState(False)
3.1411 	EXP 	New trial (rep=0, index=3): OrderedDict([('videos', 'spot-original.avi')])
3.4281 	EXP 	eyetracker.clearEvents()
3.4287 	EXP 	eyetracker.setRecordingState(True)
3.4375 	EXP 	movie: autoDraw = False
3.4375 	EXP 	movie: autoDraw = True
4.1141 	EXP 	eyetracker.setRecordingState(False)
4.1143 	EXP 	New trial (rep=0, index=4): OrderedDict([('videos', 'spot-elongated-2.avi')])
4.3943 	EXP 	eyetracker.clearEvents()
4.3948 	EXP 	eyetracker.setRecordingState(True)
4.4025 	EXP 	movie: autoDraw = False
4.4025 	EXP 	movie: autoDraw = True
5.1215 	EXP 	eyetracker.setRecordingState(False)
5.1217 	EXP 	New trial (rep=0, index=5): OrderedDict([('videos', 'spot-swept.avi')])
5.4045 	EXP 	eyetracker.clearEvents()
5.4049 	EXP 	eyetracker.setRecordingState(True)
5.4123 	EXP 	movie: autoDraw = False
5.4123 	EXP 	movie: autoDraw = True
6.1326 	EXP 	eyetracker.setRecordingState(False)
6.1328 	EXP 	New trial (rep=0, index=6): OrderedDict([('videos', 'ball-elongated-1.avi')])
6.4075 	EXP 	eyetracker.clearEvents()
6.4080 	EXP 	eyetracker.setRecordingState(True)
6.4083 	EXP 	PFE: status = STOPPED
6.4124 	EXP 	movie: autoDraw = False
6.4124 	EXP 	movie: autoDraw = True
6.4124 	EXP 	movie: autoDraw = False
6.4125 	EXP 	PFE: status = STOPPED
6.4347 	EXP 	window1: mouseVisible = True
