4.1781 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000029D9F017130>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000029D9F0170D0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000029DA93E8F70>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000029DA98630D0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.1781 	EXP 	window1: mouseVisible = True
4.1781 	EXP 	window1: backgroundImage = ''
4.1781 	EXP 	window1: backgroundFit = 'none'
4.1789 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.1789 	EXP 	window1: recordFrameIntervals = False
4.3449 	EXP 	window1: recordFrameIntervals = True
4.5282 	EXP 	Screen (0) actual frame rate measured at 60.03Hz
4.5282 	EXP 	window1: recordFrameIntervals = False
4.5283 	EXP 	window1: mouseVisible = False
6.5780 	EXP 	PFE: status = STARTED
6.5814 	EXP 	window1: mouseVisible = True
0.0352 	EXP 	movie: autoLog = True
0.0353 	EXP 	window1: mouseVisible = True
0.0372 	EXP 	Created calibration_1Target = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([0, 0, 0]), fillColorSpace='rgb', fillRGB=array([0, 0, 0]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=2.0, name='calibration_1Target', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.02, 0.02]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
0.0373 	EXP 	window1: mouseVisible = True
0.0390 	EXP 	Created calibration_1TargetInner = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=0, draggable=False, fillColor=array([-1.        ,  0.00392157, -1.        ]), fillColorSpace='rgb', fillRGB=array([-1.        ,  0.00392157, -1.        ]), interpolate=True, lineColor=array([-1., -1., -1.]), lineColorSpace='rgb', lineRGB=array([-1, -1, -1]), lineWidth=2.0, name='calibration_1TargetInner', opacity=1.0, ori=0.0, pos=array([0., 0.]), size=array([0.007, 0.007]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
36.3981 	EXP 	Imported data.csv as conditions, 8 conditions, 1 params
36.3996 	EXP 	Created sequence: random, trialTypes=8, nReps=2, seed=None
36.3997 	EXP 	New trial (rep=0, index=0): OrderedDict([('videos', 'spot-swept.avi')])
36.4995 	EXP 	eyetracker.clearEvents()
36.4999 	EXP 	eyetracker.setRecordingState(True)
36.6252 	EXP 	movie: autoDraw = True
37.6160 	EXP 	eyetracker.setRecordingState(False)
37.8528 	EXP 	New trial (rep=0, index=1): OrderedDict([('videos', 'ball-elongated-1.avi')])
38.1288 	EXP 	eyetracker.clearEvents()
38.1292 	EXP 	eyetracker.setRecordingState(True)
38.1492 	EXP 	movie: autoDraw = False
38.1492 	EXP 	movie: autoDraw = True
39.1331 	EXP 	eyetracker.setRecordingState(False)
39.4834 	EXP 	New trial (rep=0, index=2): OrderedDict([('videos', 'ball-original.avi')])
39.7646 	EXP 	eyetracker.clearEvents()
39.7651 	EXP 	eyetracker.setRecordingState(True)
39.7813 	EXP 	movie: autoDraw = False
39.7813 	EXP 	movie: autoDraw = True
40.7647 	EXP 	eyetracker.setRecordingState(False)
41.1195 	EXP 	New trial (rep=0, index=3): OrderedDict([('videos', 'spot-elongated-1.avi')])
41.4011 	EXP 	eyetracker.clearEvents()
41.4016 	EXP 	eyetracker.setRecordingState(True)
41.4326 	EXP 	movie: autoDraw = False
41.4326 	EXP 	movie: autoDraw = True
42.4159 	EXP 	eyetracker.setRecordingState(False)
42.7540 	EXP 	New trial (rep=0, index=4): OrderedDict([('videos', 'spot-original.avi')])
43.0236 	EXP 	eyetracker.clearEvents()
43.0239 	EXP 	eyetracker.setRecordingState(True)
43.0496 	EXP 	movie: autoDraw = False
43.0496 	EXP 	movie: autoDraw = True
44.0481 	EXP 	eyetracker.setRecordingState(False)
44.3777 	EXP 	New trial (rep=0, index=5): OrderedDict([('videos', 'spot-elongated-2.avi')])
44.6610 	EXP 	eyetracker.clearEvents()
44.6615 	EXP 	eyetracker.setRecordingState(True)
44.6813 	EXP 	movie: autoDraw = False
44.6813 	EXP 	movie: autoDraw = True
45.6661 	EXP 	eyetracker.setRecordingState(False)
46.0151 	EXP 	New trial (rep=0, index=6): OrderedDict([('videos', 'ball-swept_volume.avi')])
46.3075 	EXP 	eyetracker.clearEvents()
46.3079 	EXP 	eyetracker.setRecordingState(True)
46.3325 	EXP 	movie: autoDraw = False
46.3325 	EXP 	movie: autoDraw = True
47.3313 	EXP 	eyetracker.setRecordingState(False)
47.6619 	EXP 	New trial (rep=0, index=7): OrderedDict([('videos', 'ball-elongated-2.avi')])
47.9436 	EXP 	eyetracker.clearEvents()
47.9441 	EXP 	eyetracker.setRecordingState(True)
47.9646 	EXP 	movie: autoDraw = False
47.9646 	EXP 	movie: autoDraw = True
48.9493 	EXP 	eyetracker.setRecordingState(False)
49.2978 	EXP 	New trial (rep=1, index=0): OrderedDict([('videos', 'spot-original.avi')])
49.5688 	EXP 	eyetracker.clearEvents()
49.5693 	EXP 	eyetracker.setRecordingState(True)
49.5991 	EXP 	movie: autoDraw = False
49.5991 	EXP 	movie: autoDraw = True
50.5981 	EXP 	eyetracker.setRecordingState(False)
50.9229 	EXP 	New trial (rep=1, index=1): OrderedDict([('videos', 'spot-elongated-1.avi')])
51.1858 	EXP 	eyetracker.clearEvents()
51.1861 	EXP 	eyetracker.setRecordingState(True)
51.1978 	EXP 	movie: autoDraw = False
51.1978 	EXP 	movie: autoDraw = True
52.1826 	EXP 	eyetracker.setRecordingState(False)
52.5404 	EXP 	New trial (rep=1, index=2): OrderedDict([('videos', 'spot-swept.avi')])
52.8046 	EXP 	eyetracker.clearEvents()
52.8050 	EXP 	eyetracker.setRecordingState(True)
52.8146 	EXP 	movie: autoDraw = False
52.8146 	EXP 	movie: autoDraw = True
53.7981 	EXP 	eyetracker.setRecordingState(False)
54.1588 	EXP 	New trial (rep=1, index=3): OrderedDict([('videos', 'ball-original.avi')])
54.4394 	EXP 	eyetracker.clearEvents()
54.4400 	EXP 	eyetracker.setRecordingState(True)
54.4658 	EXP 	movie: autoDraw = False
54.4658 	EXP 	movie: autoDraw = True
55.4645 	EXP 	eyetracker.setRecordingState(False)
55.7933 	EXP 	New trial (rep=1, index=4): OrderedDict([('videos', 'ball-swept_volume.avi')])
56.0552 	EXP 	eyetracker.clearEvents()
56.0554 	EXP 	eyetracker.setRecordingState(True)
56.0645 	EXP 	movie: autoDraw = False
56.0645 	EXP 	movie: autoDraw = True
57.0496 	EXP 	eyetracker.setRecordingState(False)
57.4089 	EXP 	New trial (rep=1, index=5): OrderedDict([('videos', 'ball-elongated-2.avi')])
57.6861 	EXP 	eyetracker.clearEvents()
57.6866 	EXP 	eyetracker.setRecordingState(True)
57.7158 	EXP 	movie: autoDraw = False
57.7158 	EXP 	movie: autoDraw = True
58.7147 	EXP 	eyetracker.setRecordingState(False)
59.0403 	EXP 	New trial (rep=1, index=6): OrderedDict([('videos', 'ball-elongated-1.avi')])
59.3105 	EXP 	eyetracker.clearEvents()
59.3110 	EXP 	eyetracker.setRecordingState(True)
59.3313 	EXP 	movie: autoDraw = False
59.3313 	EXP 	movie: autoDraw = True
60.3159 	EXP 	eyetracker.setRecordingState(False)
60.6641 	EXP 	New trial (rep=1, index=7): OrderedDict([('videos', 'spot-elongated-2.avi')])
