4.6452 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000152F098B0A0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000152F098B040>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x00000152FAED3EE0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x00000152FB0E1040>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.6453 	EXP 	window1: mouseVisible = True
4.6453 	EXP 	window1: backgroundImage = ''
4.6453 	EXP 	window1: backgroundFit = 'none'
4.6460 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.6460 	EXP 	window1: recordFrameIntervals = False
4.8118 	EXP 	window1: recordFrameIntervals = True
4.9952 	EXP 	Screen (0) actual frame rate measured at 59.90Hz
4.9952 	EXP 	window1: recordFrameIntervals = False
4.9954 	EXP 	window1: mouseVisible = False
6.9091 	EXP 	PFE: status = STARTED
6.9110 	EXP 	window1: mouseVisible = True
6.9222 	EXP 	window1: mouseVisible = True
0.0298 	EXP 	movie: autoLog = True
0.0317 	EXP 	Imported data.csv as conditions, 8 conditions, 1 params
0.0319 	EXP 	Created sequence: random, trialTypes=8, nReps=2, seed=None
0.0320 	EXP 	New trial (rep=0, index=0): OrderedDict([('videos', 'Video/ball-swept_volume.avi')])
0.1127 	EXP 	eyetracker.clearEvents()
0.1130 	EXP 	eyetracker.setRecordingState(True)
0.1388 	EXP 	movie: autoDraw = True
1.1230 	EXP 	eyetracker.setRecordingState(False)
1.4676 	EXP 	New trial (rep=0, index=1): OrderedDict([('videos', 'Video/spot-elongated-2.avi')])
1.7398 	EXP 	eyetracker.clearEvents()
1.7401 	EXP 	eyetracker.setRecordingState(True)
1.7422 	EXP 	movie: autoDraw = False
1.7422 	EXP 	movie: autoDraw = True
2.7389 	EXP 	eyetracker.setRecordingState(False)
3.0944 	EXP 	New trial (rep=0, index=2): OrderedDict([('videos', 'Video/spot-original.avi')])
3.3707 	EXP 	eyetracker.clearEvents()
3.3710 	EXP 	eyetracker.setRecordingState(True)
