4.9497 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002E8E9B470D0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002E8E9B47070>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002E8E9B35F10>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002E8EA0A3070>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.9498 	EXP 	window1: mouseVisible = True
4.9498 	EXP 	window1: backgroundImage = ''
4.9498 	EXP 	window1: backgroundFit = 'none'
4.9505 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
4.9505 	EXP 	window1: recordFrameIntervals = False
5.1163 	EXP 	window1: recordFrameIntervals = True
5.2997 	EXP 	Screen (0) actual frame rate measured at 59.95Hz
5.2997 	EXP 	window1: recordFrameIntervals = False
5.2998 	EXP 	window1: mouseVisible = False
7.2016 	EXP 	PFE: status = STARTED
7.2054 	EXP 	window1: mouseVisible = True
0.0663 	EXP 	movie: autoLog = True
0.0681 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
0.0683 	EXP 	New trial (rep=0, index=0): None
0.0825 	EXP 	eyetracker.clearEvents()
0.0828 	EXP 	eyetracker.setRecordingState(True)
0.0903 	EXP 	movie: autoDraw = True
1.1422 	EXP 	eyetracker.setRecordingState(False)
1.1425 	EXP 	New trial (rep=1, index=0): None
1.1849 	EXP 	eyetracker.clearEvents()
1.1852 	EXP 	eyetracker.setRecordingState(True)
1.1906 	EXP 	movie: autoDraw = False
1.1906 	EXP 	movie: autoDraw = True
2.1214 	EXP 	eyetracker.setRecordingState(False)
2.1219 	EXP 	New trial (rep=2, index=0): None
2.1632 	EXP 	eyetracker.clearEvents()
2.1634 	EXP 	eyetracker.setRecordingState(True)
2.1717 	EXP 	movie: autoDraw = False
2.1717 	EXP 	movie: autoDraw = True
3.1416 	EXP 	eyetracker.setRecordingState(False)
3.1421 	EXP 	New trial (rep=3, index=0): None
3.1834 	EXP 	eyetracker.clearEvents()
3.1838 	EXP 	eyetracker.setRecordingState(True)
3.1928 	EXP 	movie: autoDraw = False
3.1928 	EXP 	movie: autoDraw = True
4.1198 	EXP 	eyetracker.setRecordingState(False)
4.1203 	EXP 	New trial (rep=4, index=0): None
4.1624 	EXP 	eyetracker.clearEvents()
4.1628 	EXP 	eyetracker.setRecordingState(True)
4.1728 	EXP 	movie: autoDraw = False
4.1728 	EXP 	movie: autoDraw = True
5.1408 	EXP 	eyetracker.setRecordingState(False)
5.1455 	EXP 	movie: autoDraw = False
5.1456 	EXP 	PFE: status = STOPPED
5.1767 	EXP 	window1: mouseVisible = True
