3.9055 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC4C757070>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC4C7456A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000001FC4C745EB0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000001FC4CC77FD0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.9055 	EXP 	window1: mouseVisible = True
3.9055 	EXP 	window1: backgroundImage = ''
3.9055 	EXP 	window1: backgroundFit = 'none'
3.9063 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3.9063 	EXP 	window1: recordFrameIntervals = False
4.0720 	EXP 	window1: recordFrameIntervals = True
4.2555 	EXP 	Screen (0) actual frame rate measured at 59.99Hz
4.2555 	EXP 	window1: recordFrameIntervals = False
4.2555 	EXP 	window1: mouseVisible = False
6.0821 	EXP 	PFE: status = STARTED
6.0845 	EXP 	window1: mouseVisible = True
0.0665 	EXP 	movie: autoLog = True
0.0668 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
0.0669 	EXP 	New trial (rep=0, index=0): None
0.0839 	EXP 	eyetracker.clearEvents()
0.0842 	EXP 	eyetracker.setRecordingState(True)
0.0893 	EXP 	movie: autoDraw = True
1.1452 	EXP 	eyetracker.setRecordingState(False)
1.1454 	EXP 	New trial (rep=1, index=0): None
1.1879 	EXP 	eyetracker.clearEvents()
1.1881 	EXP 	eyetracker.setRecordingState(True)
1.1924 	EXP 	movie: autoDraw = False
1.1924 	EXP 	movie: autoDraw = True
2.1243 	EXP 	eyetracker.setRecordingState(False)
2.1246 	EXP 	New trial (rep=2, index=0): None
2.1660 	EXP 	eyetracker.clearEvents()
2.1663 	EXP 	eyetracker.setRecordingState(True)
2.1733 	EXP 	movie: autoDraw = False
2.1733 	EXP 	movie: autoDraw = True
3.1441 	EXP 	eyetracker.setRecordingState(False)
3.1442 	EXP 	New trial (rep=3, index=0): None
3.1869 	EXP 	eyetracker.clearEvents()
3.1872 	EXP 	eyetracker.setRecordingState(True)
3.1954 	EXP 	movie: autoDraw = False
3.1954 	EXP 	movie: autoDraw = True
4.1233 	EXP 	eyetracker.setRecordingState(False)
4.1234 	EXP 	New trial (rep=4, index=0): None
4.1660 	EXP 	eyetracker.clearEvents()
4.1664 	EXP 	eyetracker.setRecordingState(True)
4.1747 	EXP 	movie: autoDraw = False
4.1747 	EXP 	movie: autoDraw = True
5.1443 	EXP 	eyetracker.setRecordingState(False)
5.1507 	EXP 	movie: autoDraw = False
5.1507 	EXP 	PFE: status = STOPPED
5.1839 	EXP 	window1: mouseVisible = True
