# timestamps [seconds],pts
17404.309443,0
17404.346005,2396
17404.366708,3752
17404.389031,5215
17404.421129,7319
17404.457299,9689
17404.489379,11792
17404.521514,13898
17404.557275,16241
17404.589135,18329
17404.621148,20427
17404.657425,22805
17404.689396,24900
17404.725203,27246
17404.757122,29338
17404.789011,31428
17404.825276,33805
17404.857144,35893
17404.889285,37999
17404.925340,40362
17404.957364,42461
17404.993404,44823
17405.025510,46927
17405.057135,48999
17405.093532,51385
17405.125379,53472
17405.157205,55558
17405.193244,57919
17405.225215,60015
17405.261248,62376
17405.293360,64481
17405.325287,66573
17405.361381,68938
17405.393486,71042
17405.425563,73144
17405.461328,75488
17405.493278,77582
17405.529413,79950
17405.561404,82047
17405.593627,84158
17405.629180,86488
17405.661183,88586
17405.697228,90948
17405.729062,93034
17405.761281,95146
17405.797118,97494
17405.829313,99604
17405.861387,101706
17405.897386,104065
17405.929262,106154
17405.965491,108529
17405.997403,110620
17406.029479,112722
17406.065211,115064
17406.097257,117164
17406.129096,119250
17406.165215,121618
17406.197095,123707
17406.233535,126095
17406.265371,128181
17406.297519,130288
17406.333285,132632
17406.365290,134729
17406.397191,136820
17406.433491,139199
17406.465351,141287
17406.501380,143648
17406.533280,145739
17406.565297,147837
17406.601240,150192
17406.633306,152294
17406.665114,154378
17406.701461,156760
17406.733292,158846
17406.769249,161203
17406.801309,163304
17406.833438,165410
17406.869526,167775
17406.901489,169869
17406.933541,171970
17406.969296,174313
17407.001349,176414
17407.037023,178751
17407.069240,180863
17407.101319,182965
17407.137298,185323
17407.169236,187416
17407.205240,189776
17407.237217,191871
17407.269275,193972
17407.305576,196351
17407.337283,198429
17407.369270,200525
17407.405158,202877
17407.437058,204968
17407.473392,207349
17407.505300,209440
17407.537184,211530
17407.573089,213883
17407.605478,216005
17407.637036,218073
17407.673369,220454
17407.705440,222556
17407.741342,224909
17407.773362,227007
17407.805467,229111
17407.841392,231466
17407.873339,233559
17407.905372,235659
17407.941339,238016
17407.973134,240099
17408.009149,242460
17408.041213,244561
17408.073361,246668
17408.109528,249038
17408.141186,251113
17408.173118,253205
17408.209410,255584
17408.241358,257678
17408.277231,260028
17408.309350,262133
17408.341251,264224
17408.377379,266592
17408.409505,268697
17408.441408,270788
17408.477180,273132
17408.509217,275232
17408.545139,277586
17408.577209,279688
17408.609360,281795
17408.645444,284159
17408.677486,286259
17408.713393,288612
17408.745282,290702
17408.777355,292804
17408.813471,295171
17408.845237,297253
17408.877470,299365
17408.913274,301712
17408.945216,303805
17408.981186,306162
17409.013132,308256
17409.045169,310355
17409.081480,312735
17409.113515,314834
17409.145387,316923
17409.181289,319276
17409.213201,321367
17409.249400,323740
17409.281506,325844
17409.313578,327945
17409.349275,330285
17409.381146,332374
17409.413153,334471
17409.449121,336828
17409.481290,338936
17409.517284,341295
17409.549423,343402
17409.581404,345497
17409.617356,347854
17409.649101,349934
17409.681292,352044
17409.717333,354406
17409.749474,356512
17409.785368,358864
17409.817408,360964
17409.849111,363042
17409.885327,365415
17409.917195,367504
17409.949055,369591
17409.985408,371974
17410.017430,374072
17410.053183,376416
17410.085388,378526
17410.117306,380618
17410.153194,382970
17410.185280,385072
17410.217410,387178
17410.253413,389538
17410.285341,391630
17410.321144,393976
17410.353157,396074
17410.385189,398174
17410.421155,400531
17410.453277,402636
17410.489379,405002
17410.521256,407091
17410.553203,409184
17410.589358,411554
