# timestamps [seconds],pts
-875545.958575,0
-875545.929211,1924
-875545.903870,3585
-875545.880063,5145
-875545.846598,7338
-875545.814520,9440
-875545.782565,11534
-875545.746527,13896
-875545.714496,15995
-875545.682557,18088
-875545.646588,20446
-875545.614331,22560
-875545.578455,24911
-875545.546454,27008
-875545.514630,29093
-875545.478611,31454
-875545.446681,33546
-875545.414573,35651
-875545.378592,38009
-875545.346544,40109
-875545.310563,42467
-875545.278573,44563
-875545.246576,46660
-875545.210452,49028
-875545.178524,51120
-875545.146494,53219
-875545.110562,55574
-875545.078625,57667
